inner_code;name;name_eng;adm_code;iata;icao
ВНУ;Воскресенское; ;МС; ; 
ВТЧ;Восточный; ;ЧА; ; 
ВТК;Воткинск; ;УД; ; 
ВОЯ;Воямполка; ;КЧ; ; 
ВТЛ;Вуктыл; ;КИ; ;UUYK
ВЫД;Выдрино; ;БР; ; 
ВЫН;Выкатное; ;ТЮ; ; 
ВЫК;Выкса; ;НЖ; ; 
ВЫП;Выползово; ;ТИ; ; 
ВМС;Высокий Мыс; ;ТЮ; ; 
ВТГ;Вытегра; ;ВЯ; ;ULWR
ВЯЗ;Вязьма; ;СЛ; ; 
ВТП;Вятские Поляны; ;КП; ; 
ГАГ;Гагино; ;НЖ; ;UWGA
ГЗВ;Газимуровский Завод; ;ЧТ; ; 
ГАН;Гайны; ;ПМ; ;USPG
ГЛЧ;Галич; ;КФ; ; 
ГАР;Гари; ;СД; ; 
ГДО;Гдов; ;ПС; ; 
ГДЖ;Геленджик;Gelendzik;КД;GDZ;URKG
ГГБ;Гергебель; ;ДГ; ; 
ГЖГ;Гижига; ;МГ; ; 
ГЛЗ;Глазов; ;УД; ; 
ГОВ;Говорково; ;КЯ; ;UNHG
ГОЦ;Голицыно; ;ПЗ; ; 
ГТЛ;Голотль; ;ДГ; ; 
ГРА;Горка; ;АГ; ;ULKG
ГОК;Горки; ;ТЮ; ; 
ГОР;Горно-Алтайск; ;АЙ; ;UNBG
ГРЗ;Горнозаводск; ;СЯ; ; 
ГРП;Горно-Правдинск; ;ТЮ; ;USHP
ГРР;Горнореченск; ;ТЮ; ; 
ГОЧ;Горно-Чуйский; ;ИР; ; 
ГНЫ;Горный; ;СГ; ; 
ГРЙ;Горный [ДВУ]; ;АУ; ; 
ГОН;Горный[ТЮМ]; ;ТЮ; ; 
ГРЦ;Городец; ;НЖ; ;UWGD
ГВВ;Городовиковск; ;КЦ; ; 
ГШХ;Горошиха; ;КЯ; ;UOTG
ГЧИ;Горячинск; ;БР; ; 
ГРХ;Гремиха; ;МУ; ; 
ГРН;Грозный;Groznyj;ЧИ;GRV;URMG
ГБК;Губкин; ;БГ; ; 
ГДМ;Гудермес; ;ЧИ; ; 
ГУС;Гусь-Хрустальный; ;ВЛ; ; 
ГЫД;Гыда; ;ТЮ; ; 
ДНГ;Дальнегорск; ;ПР; ; 
ДЕЕ;Дальнее; ;ТЯ; ; 
ДЛЧ;Дальнереченск; ;ПР; ;UHHD
ДЛЛ;Дальний; ;ЧА; ; 
ДНЙ;Дальний; ;ИР; ; 
ДВК;Даниловка; ;ВГ; ; 
ДНВ;Данков; ;ЛП; ; 
ДРС;Дарасун; ;ЧТ; ; 
ДВЦ;Дворец; ;КЯ; ; 
ДЕД;Дедовичи; ;ПС; ; 
ДКА;Де-Кастри; ;ХБ; ; 
ДМЯ;Демянск; ;НГ; ; 
ДНС;Денисовка; ;КИ; ;USPD
ДЕП;Депутатский; ;СФ; ;UEBD
ДЕР;Дербент; ;ДГ; ;UBBK
ДРГ;Дергачи; ;СГ; ; 
ДЖР;Джазатор; ;АЙ; ; 
ДЖХ;Джебарики-Хая; ;СФ; ;УЕЯД
ДЖО;Джонки; ;ХБ; ; 
ДБГ;Джубга; ;КД; ; 
ДЗЕ;Дзель; ;КИ; ; 
ДЗЖ;Дзержинское; ;КЯ; ;УНЯД
ДИК;Диксон;Dikson;КЯ;DKS;UODD
ДМГ;Димитровград; ;УЛ; ; 
ДМИ;Дмитриевка; ;ТБ; ; 
ДВН;Довольное; ;НБ; ; 
ДГЩ;Долгощелье; ;АГ; ;ULBD
ДОН;Донецк; ;РД; ; 
ДГЖ;Дорогобуж; ;СЛ; ; 
ДЖЖ;Дрожжаное; ;ТГ; ; 
ДУЖ;Дружный; ;ТЯ; ; 
ТЮК;Друса; ;ОЯ; ; 
ДРК;Дубровка; ;НБ; ; 
ДУО;Дубровка [СЗУ]; ;ЛЕ; ; 
ДБР;Дубровка [УГЦ]; ;БН; ; 
ДУВ;Дуван; ;БШ; ; 
ДНК;Дудинка; ;КЯ; ;UOOD
ДДС;Дудоровский; ;КЖ; ; 
ДУХ;Духовницкое; ;СГ; ; 
ЕДИ;Единка; ;ПР; ;UHWE
ЕЗЕ;Езевец; ;АГ; ; 
ЕСК;Ейск; ;КД; ;URKE
ЕКБ;Екатеринбург;Ekaterinburg;СД;SVX; 
ЕКЛ;Екатеринославка; ;ОЯ; ; 
ЕЛА;Елабуга; ;ТГ; ;UWKL
ЕНЬ;Елань; ;ВГ; ; 
ЕЛЫ;Еласы; ;МИ; ; 
